"",,,,,,,,,,,,,,,,,,,,,,,,,,,
"",Médio,VW,T CROSS,"HIGHLINE 250TSIAUTOMÁTICO",1.4-16V,Combustão,A - 6,S,E,F,,"44,876","214,907","4,261",B,0,104,"8,2","10,0","11,8","14,2",,"1,69",C,B,-,
"",Médio,VW,VIRTUS,TSI AUTOMÁTICO,1.0-12V,Combustão,A - 6,S,E,F,,"45,150","162,550","4,565",B,0,97,"8,7","11,0","12,4","15,6",,"1,57",B,B,-,
"",Médio,VW,POLO,MPI,1.0-12V,Combustão,M - 5,S,E,F,,"37,850","156,730","3,434",B,0,91,"9,5","10,9","13,8","15,5",,"1,47",A,B,SIM,
"",Médio,VW,VOYAGE,MPI,1.0-12V,Combustão,M - 5,S,H,F,,"40,000","154,700","3,892",B,0,91,"9,5","10,9","13,8","15,6",,"1,47",A,B,SIM,
"",Grande,AUDI,A3 Sedan,S line  (ed.0),2.0 - 16V,Híbrido,A-7,S,E,G,,"19,100","118,300","1,740",A,\,116,\,\,"10,5","13,1",,"1,89",B,C,-,
"",Grande,AUDI,A3 Sedan,Performance Black (ed.0),2.0 - 16V,Híbrido,A-7,S,E,G,,"19,100","118,300","1,740",A,\,116,\,\,"10,5","13,1",,"1,89",B,C,-,
"",Grande,AUDI,A3 Sedan,S line,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,647","137,500","0,218",A,\,121,\,\,"10,2","12,6",,"1,96",C,C,-,
"",Grande,AUDI,A3 Sedan,Performance Black,2.0 - 16V,Híbrido,A-7,S,E,G,,"12,647","137,500","0,218",A,\,121,\,\,"10,2","12,6",,"1,96",C,C,-,
"",Grande,BMW,218i,-,1.5 - 12V,Combustão,DCT-7,S,E-H,G,,"18,300","122,000","1,000",A,\,110,\,\,"11,2","13,6",,"1,78",A,C,-,
"",Grande,BMW,X1,S20i ActiveFlex,2.0 - 16V,Combustão,A-8,S,E-H,F,,"31,900","240,500","0,450",A,0,126,"6,8","8,4","9,8","12,2",,"2,04",D,C,-,
"",Grande,BMW,X1,sDrive 20i X Line,2.0 - 16V,Combustão,A-8,S,E-H,F,,"27,850","263,000","0,350",A,0,130,"6,7","8,3","9,5","11,7",,"2,09",D,C,-,
"",Grande,BMW,X1,sDrive 20i M Sport,2.0 - 16V,Combustão,A-8,S,E-H,F,,"27,850","263,000","0,350",A,0,130,"6,7","8,3","9,5","11,7",,"2,09",D,C,-,
"",Grande,CAOA CHERY,ARRIZO 5 E,E,Elétrico,Elétrico,A,S,E,F,,"0,000","0,000","0,000",A,0,0,"27,5","24,2","39,3","34,5",,"0,55",A,A,-,
"",Grande,CAOA CHERY,ARRIZO 6,PRO,1.5T -16V,Combustão,CVT,S,E,F,,"52,400","179,400","1,590",B,0,115,"7,4","9,2","10,6","13,4",,"1,86",B,C,-,
"",Grande,CAOA CHERY,ARRIZO 6,PLUS,1.5T -16V,Combustão,CVT,S,E,F,,"52,400","179,400","1,590",B,0,115,"7,4","9,2","10,6","13,4",,"1,86",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,LT NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,LTZ NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,PRE NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,PRE2 NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE NB,MID NB AT,1.4T-16V,Combustão,A-6,S,E,F,,"29,749","275,328","2,040",B,0,113,"7,1","9,6","10,5","14,3",,"1,85",B,C,-,
"",Grande,CHEVROLET,CRUZE HB,LT HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
"",Grande,CHEVROLET,CRUZE HB,LTZ HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
"",Grande,CHEVROLET,CRUZE HB,PRE HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
"",Grande,CHEVROLET,CRUZE HB,PRE2 HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,
Grande,CHEVROLET,CRUZE HB,RS HB AT,1.4T-16V,Combustão,A-6,S,E,F,,"28,415","276,387","1,800",B,0,117,"7,0","9,2","10,4","13,3",,"1,91",C,C,-,,
"",,,,,,,,,,,,,,,,,,,,,,,,
"",Marca,Modelo,Versão,Motor,"Tipo dePropulsãoCombustãoHíbridoPlug-inElétrico","TransmissãoVelocidades(no)","ArCond.","DireçãoAssistida",Combustível,,Emissões no Escapamento,Quilometragem por Litro,"ConsumoEnergético(MJ/km)","ClassificaçãoPBE","SeloCONPETdeEficiênciaEnergética((A+B).A).(A.(A+B))",,,,,,,,,
"",,,,,"Manual (M)Automática (A)Automática DuplaEmbreagem (DCT)Automatizada(MTA)Contínua (CVT)","Hidráulica(H)Mecânica(M)Elétrica(E)Eletro-hidráulica(E-H)","Elétrico (E)Gasolina (G)Flex (F)Diesel (D)",,Poluentes,Gás Efeito Estufa,,,,,,,,,,,,,,
"",,,,,,,,,,"NMOG+NOx(mg/km)","CO(mg/km)","CHO(mg/km)","ReduçãoRelativaaoLimite",Etanol,"GasolinaouDiesel",Etanol,"Gasolina ou Dieselou Elétrico(km/l equivalente)",,,,,,,
"",,,,,,"Sim(S)Não(N)","CO2fóssil(g/km)","CO2fóssil(g/km)","Cidade(km/l)","Estrada(km/l)","Cidade(km/l)","Estrada(km/l)","ComparaçãoRelativanaCategoria","ComparaçãoAbsolutaGeral",,,,,,,,,,
Grande,JEEP,COMPASS,S 4XE,1.3 16V T,Plug-in,A-6,S,E,G,,"39,630","215,530","0,600",A,\,47,\,\,"25,4","24,2","0,80",A,A,SIM
Grande,LEXUS,UX250H,LUXURY,2.0 - 16V,Híbrido,CVT,S,E,G,,"11,854","73,050","0,547",A,\,82,\,\,"16,6","14,7","1,33",A,B,SIM
Grande,LEXUS,UX250H,DYNAMIC,2.0 - 16V,Híbrido,CVT,S,E,G,,"11,854","73,050","0,547",A,\,82,\,\,"16,6","14,7","1,33",A,B,SIM
Grande,Mercedes-Benz,A200 SD,,1.3-16V,Combustão,DCT-7,S,E,G,,"27,700","84,700","1,020",A,\,111,\,\,"10,8","14,0","1,80",B,C,-
Grande,Mercedes-Benz,AMG A35SD  4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,,"16,300","114,000","2,300",A,\,136,\,\,"9,1","11,5","2,20",E,C,-
Grande,Mercedes-Benz,AMG GLA35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,,"24,100","92,700","1,800",A,\,145,\,\,"8,7","10,4","2,35",E,C,-
Grande,Mercedes-Benz,GLA200,AMG LINE(L7),1.3-16V,Combustão,DCT-7,S,E,G,,"33,000","18,200","1,680",A,\,110,\,\,"11,1","13,6","1,79",A,C,-
Grande,Mercedes-Benz,AMG A45S 4MATIC,,2.0-16V,Combustão,DCT-8,S,E,G,,"14,700","94,500","1,800",A,\,152,\,\,"7,9","10,9","2,46",E,D,-
Grande,NISSAN,LEAF,TEKNA,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"38,7","31,9","0,58",A,A,-
Grande,TOYOTA,COROLLA CROSS,XRV HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,,"18,252","104,165","3,556",A,0,79,"11,8","9,7","17,8","14,7","1,31",A,B,SIM
Grande,TOYOTA,COROLLA CROSS,XRX HYBRID,1.8 - 16V,Híbrido,CVT,S,E,F,,"18,252","104,165","3,556",A,0,79,"11,8","9,7","17,8","14,7","1,31",A,B,SIM
Grande,TOYOTA,COROLLA CROSS,XRE 20,2.0 - 16V,Combustão,CVT,S,E,F,,"19,593","184,833","2,791",A,0,109,"8,2","9,0","11,7","13,0","1,76",A,C,-
Grande,TOYOTA,COROLLA CROSS,XR 20,2.0 - 16V,Combustão,CVT,S,E,F,,"19,593","184,833","2,791",A,0,109,"8,2","9,0","11,7","13,0","1,76",A,C,-
Grande,TOYOTA,COROLLA,APREMIUMH,1.8 - 16V,Híbrido,CVT,S,E,F,,"17,724","96,599","4,945",B,0,77,"11,8","10,5","17,9","15,4","1,27",A,B,SIM
Grande,TOYOTA,COROLLA,ALTIS HV,1.8 - 16V,Híbrido,CVT,S,E,F,,"17,724","96,599","4,945",B,0,77,"11,8","10,5","17,9","15,4","1,27",A,B,SIM
Grande,TOYOTA,COROLLA,XEI 20,2.0 - 16V,Combustão,CVT,S,E,F,,"18,800","184,250","2,500",A,0,103,"8,3","9,8","11,9","14,2","1,68",A,B,SIM
Grande,TOYOTA,COROLLA,GLI 20,2.0 - 16V,Combustão,CVT,S,E,F,,"18,800","184,250","2,500",A,0,103,"8,3","9,8","11,9","14,2","1,68",A,B,SIM
Grande,TOYOTA,COROLLA,ALTIS 20,2.0 - 16V,Combustão,CVT,S,E,F,,"18,800","184,250","2,500",A,0,103,"8,3","9,8","11,9","14,2","1,68",A,B,SIM
Grande,TOYOTA,COROLLA,GRS,2.0 - 16V,Combustão,CVT,S,E,F,,"18,800","184,250","2,500",A,0,103,"8,3","9,8","11,9","14,2","1,68",A,B,SIM
Extra Grande,AUDI,A4 Sedan,Prestige (ed.0),2.0 - 16V,Combustão,DCT-7,S,E,G,,"24,020","80,900","0,815",A,\,123,\,\,"10,1","12,1","2,00",B,C,-
Extra Grande,AUDI,A4 Sedan,S line (ed.0),2.0 - 16V,Combustão,DCT-7,S,E,G,,"24,020","80,900","0,815",A,\,123,\,\,"10,1","12,1","2,00",B,C,-
Extra Grande,AUDI,A4 Sedan,Prestige,2.0 - 16V,Combustão,DCT-7,S,E,G,,"19,738","86,400","0,700",A,\,119,\,\,"10,5","12,5","1,93",A,C,-
Extra Grande,AUDI,A4 Sedan,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,,"19,738","86,400","0,700",A,\,119,\,\,"10,5","12,5","1,93",A,C,-
Extra Grande,AUDI,A5 Sportback,S line (ed.0),2.0 - 16V,Combustão,DCT-7,S,E,G,,"21,660","82,200","0,875",A,\,121,\,\,"10,2","12,5","1,96",A,C,-
Extra Grande,AUDI,A5 Sportback,S line,2.0 - 16V,Combustão,DCT-7,S,E,G,,"22,290","94,500","0,500",A,\,121,\,\,"10,3","12,4","1,96",A,C,-
Extra Grande,AUDI,RS 5 Sportback,-,2.9 - 24 V,Combustão,A-8,S,E,G,,"25,600","134,500","0,960",A,\,174,\,\,"7,0","9,5","2,82",E,D,-
Extra Grande,AUDI,RS 6 Avant,-,4.0 - 32V,Híbrido,A-8,S,E,G,,"46,000","176,300","1,450",B,\,230,\,\,"5,4","7,2","3,72",E,E,-
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,A- 7,S,E,G,,"21,930","117,600","0,780",A,\,159,\,\,"8,0","9,5","2,58",D,D,-
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,A- 7,S,E,G,,"21,930","117,600","0,780",A,\,159,\,\,"8,0","9,5","2,58",D,D,-
Extra Grande,AUDI,Q5,Prestige,2.0 - 16V,Combustão,A-7,S,E,G,,"24,962","85,665","0,500",A,\,149,\,\,"8,5","10,0","2,42",D,D,-
Extra Grande,AUDI,Q5,S line,2.0 - 16V,Combustão,A-7,S,E,G,,"24,962","85,665","0,500",A,\,149,\,\,"8,5","10,0","2,42",D,D,-
Extra Grande,AUDI,Q5,S line Black,2.0 - 16V,Combustão,A-7,S,E,G,,"24,962","85,665","0,500",A,\,149,\,\,"8,5","10,0","2,42",D,D,-
Extra Grande,AUDI,Q5,S line Black (ed.0),2.0 - 16V,Combustão,A- 7,S,E,G,,"21,930","117,600","0,780",A,\,159,\,\,"8,0","9,5","2,58",D,D,-
Extra Grande,AUDI,Q7,Performance (ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,,"30,600","156,000","1,700",A,\,194,\,\,"6,7","7,8","3,14",E,D,-
Extra Grande,AUDI,Q7,Performance Black (ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,,"30,600","156,000","1,700",A,\,194,\,\,"6,7","7,8","3,14",E,D,-
Extra Grande,AUDI,Q7,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,,"19,899","220,900","0,800",A,\,183,\,\,"7,1","8,1","2,96",E,D,-
Extra Grande,AUDI,Q7,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,,"19,899","220,900","0,800",A,\,183,\,\,"7,1","8,1","2,96",E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance (ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,,"30,600","123,500","1,700",A,\,194,\,\,"6,7","7,7","3,14",E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance Black (ed.0),3.0 - 24V,Híbrido,A-8,S,E,G,,"30,600","123,500","1,700",A,\,194,\,\,"6,7","7,7","3,14",E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,,"23,350","126,700","0,750",A,\,189,\,\,"7,0","7,6","3,06",E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,,"23,350","126,700","0,750",A,\,189,\,\,"7,0","7,6","3,06",E,D,-
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,3","29,1","0,69",A,A,-
Extra Grande,AUDI,Q8 Sportback,Performance,3.0 - 24V,Híbrido,A-8,S,E,G,,"23,350","126,700","0,750",A,\,189,\,\,"7,0","7,6","3,06",E,D,-
Extra Grande,AUDI,Q8 Sportback,Performance Black,3.0 - 24V,Híbrido,A-8,S,E,G,,"23,350","126,700","0,750",A,\,189,\,\,"7,0","7,6","3,06",E,D,-
Extra Grande,AUDI,RS e-tron GT,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,3","29,1","0,69",A,A,-
Extra Grande,AUDI,e-tron S Sportback,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"23,6","23,0","0,87",A,A,-
Extra Grande,AUDI,e-tron Sportback,Performance,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"22,7","22,8","0,89",A,A,-
Extra Grande,AUDI,e-tron Sportback,Performance Black,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"22,7","22,8","0,89",A,A,-
Extra Grande,AUDI,e-tron,Performance,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"23,0","23,1","0,88",A,A,-
Extra Grande,AUDI,e-tron,Performance Black,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"23,0","23,1","0,88",A,A,-
Extra Grande,BMW,420i,Cabrio,2.0 - 16V,Combustão,A-8,S,E-H,G,,"10,900","53,500","0,350",A,\,121,\,\,"9,9","13,3","1,96",A,C,-
Extra Grande,BMW,330e,-,2.0 - 16V,Plug-in,A-8,S,E-H,G,,"30,100","41,100","0,600",A,\,47,\,\,"21,7","24,6","0,88",A,A,SIM
Extra Grande,BMW,320i,GP Flex,2.0 - 16V,Combustão,A-8,S,E-H,F,,"23,650","90,000","1,200",A,0,111,"7,8","9,4","11,2","13,3","1,79",A,C,-
Extra Grande,BMW,320i,Sport GP Flex,2.0 - 16V,Combustão,A-8,S,E-H,F,,"22,100","129,000","1,350",A,0,114,"7,5","9,1","10,7","13,4","1,85",A,C,-
Extra Grande,BMW,320i,M Sport Flex,2.0 - 16V,Combustão,A-8,S,E-H,F,,"22,100","129,000","1,350",A,0,114,"7,5","9,1","10,7","13,4","1,85",A,C,-
Extra Grande,BMW,530e,-,2.0 - 16V,Plug-in,A-8,S,E-H,G,,"6,696","57,990","1,048",A,\,40,\,\,"24,0","25,8","0,80",A,A,SIM
Extra Grande,BMW,IX3,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"37,9","32,7","0,57",A,A,-
Extra Grande,BMW,IX xDrive 40,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"35,2","29,9","0,62",A,A,-
Extra Grande,BMW,IX xDrive 50,-,Elétrico,Elétrico,A,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"36,4","30,2","0,61",A,A,-
Extra Grande,CHEVROLET,EQUINOX,15T PRE,1.5T -16V,Combustão,A-6,S,E,G,,"16,540","140,700","1,680",A,\,140,\,\,"9,0","10,8","2,26",C,C,-
Extra Grande,CHEVROLET,EQUINOX,15T RS,1.5T -16V,Combustão,A-6,S,E,G,,"16,440","168,840","1,080",A,\,133,\,\,"9,3","11,5","2,16",C,C,-
Extra Grande,CHEVROLET,EQUINOX,15T LT,1.5T -16V,Combustão,A-6,S,E,G,,"16,440","168,840","1,080",A,\,133,\,\,"9,3","11,5","2,16",C,C,-
Extra Grande,FORD,Territory,SEL,1.5 - 16V,Combustão,CVT,S,E,G,,"36,300","530,700","2,250",B,\,141,\,\,"9,4","9,8","2,28",C,C,-
Extra Grande,FORD,Territory,SEL Plus,1.5 - 16V,Combustão,CVT,S,E,G,,"36,300","530,700","2,250",B,\,141,\,\,"9,4","9,8","2,28",C,C,-
Extra Grande,FORD,Territory,Titanium,1.5 - 16V,Combustão,CVT,S,E,G,,"36,300","530,700","2,250",B,\,141,\,\,"9,4","9,8","2,28",C,C,-
Extra Grande,JAGUAR,I-PACE,E400 FIRSTED,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,2","26,8","0,72",A,A,-
Extra Grande,LEXUS,NX350H,LUXURY,2.5 - 16V,Híbrido,CVT,S,E,G,,"13,013","59,113","0,475",A,\,92,\,\,"15,3","12,9","1,50",A,B,SIM
Extra Grande,LEXUS,NX350H,DYNAMIC,2.5 - 16V,Híbrido,CVT,S,E,G,,"13,013","59,113","0,475",A,\,92,\,\,"15,3","12,9","1,50",A,B,SIM
Extra Grande,LEXUS,NX350H,F-SPORT,2.5 - 16V,Híbrido,CVT,S,E,G,,"13,013","59,113","0,475",A,\,92,\,\,"15,3","12,9","1,50",A,B,SIM
Extra Grande,JAGUAR,I-PACE,E400 S,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,2","26,8","0,72",A,A,-
Extra Grande,JAGUAR,I-PACE,E400 SE,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,2","26,8","0,72",A,A,-
Extra Grande,JAGUAR,I-PACE,E400 HSE,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"29,2","26,8","0,72",A,A,-
Extra Grande,LEXUS,ES300H,-,2.5-16V,Híbrido,CVT,S,E,G,,"18,400","57,900","0,600",A,\,84,\,\,"15,8","15,2","1,36",A,B,SIM
Extra Grande,LEXUS,ES300H,-,2.5-16V,Híbrido,CVT,S,E,G,,"18,400","57,900","0,600",A,\,84,\,\,"15,8","15,2","1,36",A,B,SIM
Extra Grande,Mercedes-Benz,CLA250,,2.0-16V,Combustão,DCT-7,S,E,G,,"17,000","166,000","0,800",A,\,124,\,\,"9,5","13,3","2,01",B,C,-
Extra Grande,Mercedes-Benz,CLA250,ADV,2.0-16V,Combustão,DCT-7,S,E,G,,"17,000","166,000","0,800",A,\,124,\,\,"9,5","13,3","2,01",B,C,-
Extra Grande,Mercedes-Benz,CLA250,STYLE,2.0-16V,Combustão,DCT-7,S,E,G,,"17,000","166,000","0,800",A,\,124,\,\,"9,5","13,3","2,01",B,C,-
Extra Grande,Mercedes-Benz,CLA250,PROG,2.0-16V,Combustão,DCT-7,S,E,G,,"17,000","166,000","0,800",A,\,124,\,\,"9,5","13,3","2,01",B,C,-
Extra Grande,Mercedes-Benz,C200,AVANT,1.5-16V,Híbrido,A-9,S,E,G,,"18,800","65,000","0,200",A,\,110,\,\,"11,1","13,9","1,78",A,C,-
Extra Grande,Mercedes-Benz,C200,AMG LINE,1.5-16V,Híbrido,A-9,S,E,G,,"18,800","65,000","0,200",A,\,110,\,\,"11,1","13,9","1,78",A,C,-
Extra Grande,Mercedes-Benz,C300,AMG LINE,2.0-16V,Híbrido,A-9,S,E,G,,"15,300","91,300","0,400",A,\,118,\,\,"10,4","12,9","1,92",A,C,-
Extra Grande,Mercedes-Benz,EQC400 4M,,Elétrico,Elétrico,A-1,S,E,E,,"0,000","0,000","0,000",A,\,0,\,\,"24,2","23,7","0,85",A,A,-
Extra Grande,Mercedes-Benz,AMG CLA35 4MATIC,,2.0-16V,Combustão,DCT-7,S,E,G,,"16,300","114,000","2,300",A,\,138,\,\,"9,1","11,1","2,23",C,C,-
Extra Grande,Mercedes-Benz,AMG GLB35 4M,,2.0-16V,Combustão,DCT-8,S,E,G,,"16,100","128,900","1,300",A,\,152,\,\,"8,4","10,0","2,45",D,D,-
Extra Grande,Mercedes-Benz,AMG CLA 45S 4M,,2.0-16V,Combustão,DCT-8,S,E,G,,"14,700","94,500","1,800",A,\,152,\,\,"7,9","10,9","2,46",D,D,-
Extra Grande,Mercedes-Benz,GLB200,PROGRESSIVE(L7),1.3-16V,Combustão,DCT-7,S,E,G,,"34,800","113,400","1,690",A,\,123,\,\,"10,0","12,4","1,99",B,C,-
Extra Grande,Mercedes-Benz,E300,EXCLUSIVE,2.0-16V,Combustão,A-9,S,E,G,,"12,300","262,100","1,100",A,\,136,\,\,"8,9","12,0","2,20",C,C,-
Extra Grande,Mercedes-Benz,AMG GLE53 4M,,3.0-24V,Híbrido,A-9,S,E,G,,"13,900","391,300","2,000",A,\,179,\,\,"7,0","8,6","2,92",E,D,-
Extra Grande,Mercedes-Benz,GLS 450 4M,,3.0-24V,Híbrido,A-9,S,E,G,,"10,362","279,500","1,600",A,\,178,\,\,"7,1","8,8","2,87",E,D,-
Extra Grande,Mercedes-Benz,AMG GLC43,,3.0-24V,Combustão,A-9,S,E,G,,"13,472","176,200","2,200",A,\,184,\,\,"6,8","8,7","2,98",E,D,-
